"year","treatment","spp","phen_stage","subsite","ct","ct_na","site_name"
"2003","CTL","BETNAN","B","KANGER.DOC.EP",4,3,"KANGER"
"2003","CTL","BETNAN","FS","KANGER.DOC.EP",4,7,"KANGER"
"2003","CTL","BETNAN","RS","KANGER.DOC.EP",4,5,"KANGER"
"2003","CTL","CARSUP","B","KANGER.DOC.EP",4,1,"KANGER"
"2003","CTL","CARSUP","E","KANGER.DOC.EP",4,2,"KANGER"
"2003","CTL","CARSUP","FS","KANGER.DOC.EP",4,7,"KANGER"
"2003","CTL","CARSUP","RS","KANGER.DOC.EP",4,5,"KANGER"
"2003","CTL","CERALP","B","KANGER.DOC.EP",4,3,"KANGER"
"2003","CTL","CERALP","E","KANGER.DOC.EP",4,0,"KANGER"
"2003","CTL","CERALP","FS","KANGER.DOC.EP",4,7,"KANGER"
"2003","CTL","DRAXXX","B","KANGER.DOC.EP",4,5,"KANGER"
"2003","CTL","DRAXXX","E","KANGER.DOC.EP",4,4,"KANGER"
"2003","CTL","DRAXXX","FS","KANGER.DOC.EP",4,8,"KANGER"
"2003","CTL","DRAXXX","RS","KANGER.DOC.EP",4,5,"KANGER"
"2003","CTL","POTPAL","B","KANGER.DOC.EP",4,3,"KANGER"
"2003","CTL","POTPAL","E","KANGER.DOC.EP",4,5,"KANGER"
"2003","CTL","POTPAL","FS","KANGER.DOC.EP",4,6,"KANGER"
"2003","CTL","POTPAL","RS","KANGER.DOC.EP",4,7,"KANGER"
"2003","CTL","SALGLA","B","KANGER.DOC.EP",4,5,"KANGER"
"2003","CTL","SALGLA","FS","KANGER.DOC.EP",4,6,"KANGER"
"2003","CTL","SALGLA","LO","KANGER.DOC.EP",4,1,"KANGER"
"2003","CTL","SALGLA","RS","KANGER.DOC.EP",4,7,"KANGER"
"2003","CTL","STELON","B","KANGER.DOC.EP",4,7,"KANGER"
"2003","CTL","STELON","E","KANGER.DOC.EP",4,0,"KANGER"
"2003","CTL","STELON","FS","KANGER.DOC.EP",4,8,"KANGER"
"2003","OTC","BETNAN","B","KANGER.DOC.EP",4,3,"KANGER"
"2003","OTC","BETNAN","FS","KANGER.DOC.EP",4,3,"KANGER"
"2003","OTC","BETNAN","RS","KANGER.DOC.EP",4,5,"KANGER"
"2003","OTC","CARSUP","B","KANGER.DOC.EP",4,3,"KANGER"
"2003","OTC","CARSUP","E","KANGER.DOC.EP",4,3,"KANGER"
"2003","OTC","CARSUP","FS","KANGER.DOC.EP",4,6,"KANGER"
